file_name,ad_number,file_instance_id,sha256,record_status,human_reviewer,updated_at
"2006-0077__d5877768ebe69914.annotation.json","2006-0077","d5877768ebe69914","2e031afbc2db5d828ab764e5734565b6335eb99195639b00a775525a10f24fe4","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2007-0249__7a239ec5c306fa6d.annotation.json","2007-0249","7a239ec5c306fa6d","de384662f9c0d8fe0d3f6d466dfe0a39585c64dfc0c376b5dab1143b671c2fe7","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2008-0066__843fc74e8a4f44c0.annotation.json","2008-0066","843fc74e8a4f44c0","10367bfcc9e2c0862825030ce2b8da6b72c0adcb443a9c2f4d2a0e107f159496","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2009-0171__6edf8772870b3a19.annotation.json","2009-0171","6edf8772870b3a19","bdb6ce7b56659ce1415ac7f32b3bf91e8ee07a861f57889d7f63ff01751bc27b","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2010-0271__2db3e9f8dfdadc71.annotation.json","2010-0271","2db3e9f8dfdadc71","a10dbf2c0776aefc4dc1610a0a94de752abfa3423cef3e4564767d1640d9bbba","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2011-0098__ee69a71e72e4a031.annotation.json","2011-0098","ee69a71e72e4a031","c00277b3619369c08579bc4bbf71cd825b6bcf4cd643187eb638782d9f24ea1c","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2012-0259__71d534e47740b13c.annotation.json","2012-0259","71d534e47740b13c","b8eead062a46b6b66d26a57178fbf4bfff87048d21e6c1ffc7da02576235fcd9","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2013-0011__5f652dd0aa52e54f.annotation.json","2013-0011","5f652dd0aa52e54f","542c51ffb996f74e5b490aabc7de2cb4a8bd27d2f8a8fb2aee5a780ab977d389","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2016-0175__c13a622de38db424.annotation.json","2016-0175","c13a622de38db424","69b18c2e504f0935fd13cbe5218de660450ca0eff6ffba84744fb192b02ddbe1","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2018-0246__0ffbff521ab9746f.annotation.json","2018-0246","0ffbff521ab9746f","1174d9083a2f3b2a4bf87cf6d8f64b574917a05348e73a6499e55808e65d9b09","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2019-0188__1d1f6357de0f3352.annotation.json","2019-0188","1d1f6357de0f3352","f6ca789490c27b7ebfffa8999b2efd13f30d12d4a7b5e02245e02e7fc8448873","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2020-0016__5c6e21ab23447af0.annotation.json","2020-0016","5c6e21ab23447af0","ef8ab518105ecc25669ba322c60a3b7298974133c95b58c48afade453245cf62","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2021-0221__8aaaf372db377584.annotation.json","2021-0221","8aaaf372db377584","17d6702068b99fa8a1a1be8591aff07139549bde73456b09c92b829ff20186a5","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2021-0286__a36d7f18af6e7a27.annotation.json","2021-0286","a36d7f18af6e7a27","fdf4be09770e36ecf8a09fc73d124e3689db69f4a6b0ff556506be84bda3bcb9","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2022-0058__772cd84a0961a452.annotation.json","2022-0058","772cd84a0961a452","a651307bdf9e4ac1ae94fa1347affa6b4bb0aa900fca427f40ba9907e9ee2ba0","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2023-0057__e17febf10e432eb9.annotation.json","2023-0057","e17febf10e432eb9","9cd22659ddd99f6e78f4a9d652c14cb4907aebe9122a7e917b9333a58dc2a82a","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2024-0001__dc59a5a0114b782d.annotation.json","2024-0001","dc59a5a0114b782d","54900d80b58e0444d290d44395ca2081c7ebb605ca8fb52b761fa76ff46115bb","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2025-0138__5762b029d7edbc0c.annotation.json","2025-0138","5762b029d7edbc0c","2261b3ad0d6ad9ac9da09a69def3446aa531d176687b9a1d4b3106e53e625ff3","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2025-0181__b0e89b78cd668c9e.annotation.json","2025-0181","b0e89b78cd668c9e","2892da60d617321536362bc41235f0ae7a11c4a89cd548e403b19b3cd889990f","approved","human-reviewer-2","2026-08-02T10:30:00Z"
"2026-0100__34edf2d1b2e65515.annotation.json","2026-0100","34edf2d1b2e65515","a80f583c77204174b7fd880cff245218d87c36e04c22094b415b33f8ebb5dd3f","approved","human-reviewer-2","2026-08-02T10:30:00Z"
